ZCTA,Total_Pop,P_BelowPovLevel,P_Unemployed,P_less_than_HS_grad,P_uninsured
29001,1825,11.5,14.2,24.79423868,14.99488229
29003,6596,23,9.3,19.49818622,18.29780847
29006,9823,26.1,14.9,16.06557377,15.86848504
29009,2346,20.1,18.5,26.76973149,13.59761296
29010,10137,29.8,17.5,17.50188395,17.25501543
29014,1808,13.2,13.2,21.32216015,21.59827214
29015,1422,29.8,20,12.27810651,23.22946176
29016,15762,4.7,5.2,4.878816494,8.708947465
29018,3663,18.4,14.2,10.66066066,23.46247629
29020,22236,18.3,11,12.2579483,15.35853151
29030,2231,14.2,5.9,15.74225122,19.22077922
29031,1449,24.8,24.5,16.08187135,18.53146853
29032,4455,20.6,13.8,15.27593819,22.25472547
29033,12153,20.3,8.9,10.56962025,17.21116843
29036,17586,5.4,4.4,4.597924144,6.146959275
29037,725,0.8,9,11.59929701,24.63157895
29038,2736,19.6,13.8,23.77762894,25.30949106
29039,4419,17.1,7.3,20.59415911,19.06559698
29040,10149,13.8,15.1,11.46366428,12.14293592
29042,4785,36.1,16.6,14.1213804,20.01073922
29044,5308,16.8,15.5,12.5201678,14.27785924
29045,20617,10.1,8.5,9.630858565,14.80329281
29046,340,50.6,0,55.81395349,0
29047,3826,20.9,13.1,19.15011038,16.16571893
29048,5013,39.4,24.2,23.57756856,15.74302135
29051,761,8.5,9.2,11.11111111,17.08126036
29052,2520,14.7,15.8,15.45454545,15.81237911
29053,18202,17.3,13.2,20.9149696,24.30793157
29054,9718,10.9,10.1,14.98842593,17.59229874
29055,4406,27.4,17.7,23.27150084,17.72228989
29056,2389,31.8,14.4,8.514056225,27.88461538
29058,4821,28.6,12.4,11.42625608,21.54708037
29059,6109,37.2,25.3,24.2,15.99502929
29061,14434,12.3,13.8,8.17485799,13.07809471
29062,107,43,50.8,0,26.82926829
29063,33034,7.2,4.9,3.020998958,10.38580021
29065,708,47.2,15.7,29.08277405,15.77608142
29067,9915,25.6,13.8,20.31550596,13.56585318
29069,5322,25.5,16,20.07916517,17.82771536
29070,14526,12.1,10.4,12.62256423,15.53509008
29072,47077,6.7,6.2,3.792949576,7.292278407
29073,40590,13.3,11.1,10.27631579,14.05405405
29074,246,0,0,0,0
29075,3242,17.3,9.3,19.41264311,12.91421493
29078,14883,15.6,13.1,9.054627089,16.56118143
29079,116,0,-,0,0
29080,3036,25.3,25,24.61641094,20.19411396
29081,1134,28.7,10.9,18.47246892,11.89555126
29082,620,19.8,9.2,4,26.37931034
29101,3263,23.9,15.7,16.53495441,14.43266833
29102,18191,23,19.4,15.36212326,18.43724023
29104,1636,20.6,19.5,15.11111111,10.22657685
29105,1075,30.6,1.2,20.97087379,12.05976521
29107,2872,15.9,7.7,15.78947368,19.97947314
29108,19845,20.3,11.4,25.74735783,16.3869838
29111,1783,10.7,12.4,7.701711491,13.62599772
29112,4606,18.6,21.4,22.68041237,23.46022241
29113,1757,27.3,12.1,20.0750469,18.06066176
29114,2366,25.8,20.7,24.59297344,25.42613636
29115,27100,31,14.6,14.84636447,22.08890777
29117,0,0,9.4,0,23.36956522
29118,15873,14.7,12.9,9.073634204,16.61870964
29122,46,13,3,9.677419355,9.803921569
29123,7181,22.6,11.6,19.76207817,21.47911752
29125,2311,22.1,21.3,17.54244139,21.37651822
29126,2213,8.5,7.2,12.31310466,4.470272687
29127,7849,9.2,8.6,10.30106992,10.74642668
29128,4411,21.1,15.4,21.54304883,12.36847756
29129,3833,24.2,14.6,11.9266055,23.33709132
29130,6788,13.6,9.7,9.252752401,15.69637883
29133,1239,18,10.5,24.71751412,12.3088685
29135,8397,22,14.7,16.11455439,18.17971551
29137,2760,19.7,9.8,14.02439024,9.947275923
29138,10498,23.5,12.8,28.04718218,24.58459215
29142,5053,26.6,15.4,28.61491629,28.87931034
29145,664,25.9,28.4,32.75434243,27.82608696
29146,1854,12.6,7.3,7.928994083,18.06375443
29147,0,0,0,0,0
29148,6656,24.3,23.5,21.73510343,23.75641966
29150,39558,19,13.6,13.01870176,16.59168166
29152,1236,16.6,26.4,0,0
29153,15875,22.6,16.4,19.5783893,22.51963746
29154,29551,14.9,12.1,13.44225277,14.96779614
29160,8701,8.6,10.5,16.67416742,10.77738516
29161,11849,25,13.6,20.69645204,18.44643015
29162,2690,29.4,14.9,18.16160119,26.22820919
29163,2195,21,14.9,28.27081427,25.09823183
29164,4037,29.7,19.5,15.59322034,23.45582486
29166,924,7.4,7.6,17.34693878,13.11637081
29168,2659,26.6,12.6,20.83333333,22.71034996
29169,21550,16.3,10.1,12.47589503,20.9580292
29170,20398,10.1,8.8,8.299772369,15.61265763
29172,8597,10.9,10.1,9.569892473,17.80928121
29175,523,6.1,16.9,3.278688525,4.545454545
29178,3201,21,21.2,19.7936815,11.41581633
29180,14303,24.6,15.4,13.17434928,14.63468472
29201,17604,42.9,12.6,8.228219419,10.83592814
29202,179,65.9,8.3,0,5.128205128
29203,38250,30,19.5,13.48830173,19.50243652
29204,18403,25.6,16.4,15.66325507,15.3633531
29205,24609,24.5,8.9,8.641975309,13.63757166
29206,18993,9.2,7.1,4.100529101,7.827998499
29207,118,0,0,0,40.69767442
29208,0,-,27.8,0,2.843601896
29209,30974,14.3,12.3,8.874744806,12.73105142
29210,35190,21.6,11.6,8.287024548,17.61762887
29212,29613,9.1,7.7,3.462123517,12.02239328
29223,50657,12.5,10.6,8.509632861,16.93574624
29225,0,-,28,0,3.304178814
29229,43005,5.6,9.9,4.817944521,10.04148794
29301,29394,17.2,8.6,12.48462086,18.73505182
29302,16825,12.5,8.5,9.610613742,11.83057731
29303,22311,32.5,18.5,29.94422602,25.90907193
29306,15416,28.8,16.6,18.63322242,19.78827362
29307,19524,14.6,11.7,9.286310518,15.53962106
29316,22128,9.5,7.2,8.144285093,14.69887105
29320,526,24.5,37.8,48.09160305,39.43833944
29321,2326,22.4,22.3,20.86614173,14.87371375
29322,9051,15.1,10.9,11.86977165,13.95676692
29323,13550,16.6,13,18.29893684,18.4065019
29324,188,34,29.3,12.24489796,0
29325,13136,26.3,13.4,24.52238806,15.03915725
29329,215,0,30.8,11.5942029,0
29330,7890,20.4,12.3,18.40079464,15.32641855
29331,152,12.5,38.5,35.9223301,28.2208589
29332,2605,5.8,10.5,18.08641975,20.33960871
29333,569,30.2,0,34.87654321,39.63963964
29334,12716,12.7,6,9.964315125,13.7787874
29335,4631,16.5,9.9,15.60619089,13.72146119
29338,11,0,0,0,0
29340,19809,26.4,15.9,25.40788093,21.303734
29341,19196,19.1,15,12.81347962,14.84625738
29346,102,37.3,0,43.92523364,15.67164179
29349,29152,16.6,9,12.82133883,18.16727372
29351,1425,19.8,7.1,18.01470588,11.6519174
29353,3803,23.8,16.6,20.08293839,19.20828905
29355,845,18.6,4.2,26.47619048,16.6130761
29356,7739,13.5,7.5,14.96406571,16.23230586
29360,20027,19,12,17.26121979,16.64648617
29364,575,16.7,27.8,21.42857143,15.42372881
29365,9660,10.4,6.6,13.48002959,22.63174242
29368,14,0,0,0,100
29369,14182,10.6,9.1,7.872174591,11.57628547
29370,661,24.1,15.7,8.806818182,10.13384321
29372,4830,23.5,11.5,18.76494024,14.55015067
29373,158,26.6,79.7,9.259259259,48.38709677
29374,3183,15,8.3,13.21303842,14.84730344
29375,143,50.3,0,20.3125,33.33333333
29376,6599,11.8,8.6,10.75547866,15.45698925
29377,532,7.9,0,2.473498233,2.846975089
29378,120,33.3,100,50,18.6440678
29379,18923,20,13.5,17.0027408,15.86326402
29384,4066,15.8,15.5,16.37279597,17.37169852
29385,6614,21,16.2,14.21755725,22.14509324
29388,13718,16.6,17.2,15.79815757,21.42298115
29401,8952,25.8,10.5,2.017564681,4.558837496
29403,21394,42.3,11.2,12.87996882,16.16455811
29404,920,8.8,3.1,14.0562249,2.467105263
29405,24590,35.7,17.1,23.48254043,22.71335321
29406,28661,29.1,12.8,23.75832729,31.26335425
29407,34286,15.5,7.7,5.247550966,15.25099324
29409,71,0,13.9,0,2.387511478
29410,17688,16,9.9,11.5472561,23.98207356
29412,35465,11.2,8.7,4.670983716,14.44359648
29414,32467,10.4,8,3.606190383,12.45205161
29418,22216,18.2,9.8,15.70127783,23.07385936
29420,22445,13.9,9.6,10.64190553,17.23835424
29423,0,-,30.6,0,4.864864865
29424,0,-,25.5,0,3.83480826
29426,1492,17,24.4,23.80952381,29.64169381
29429,2997,23.8,5.8,9.484291642,14.70773099
29431,6443,23.6,12.3,16.54337592,19.43827356
29432,2659,14.3,9.3,10.07488087,12.91258614
